
START TIME : 2023-12-28 19:28:55
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.200000E+000,-4.722365E+000,-8.142008E+001,-2.541100E+002,-5.666838E+000,,,,,,,,
6.315110000e-02,+1.190000E+000,-3.936484E+000,-6.787041E+001,-3.023003E+002,-4.684415E+000,,,,,,,,
1.262884800e-01,+1.180000E+000,-3.479112E+000,-5.998470E+001,-3.391670E+002,-4.105353E+000,,,,,,,,
1.894252600e-01,+1.170000E+000,-3.075917E+000,-5.303305E+001,-3.803744E+002,-3.598823E+000,,,,,,,,
2.525486000e-01,+1.160000E+000,-2.703773E+000,-4.661678E+001,-4.290301E+002,-3.136377E+000,,,,,,,,
3.156752400e-01,+1.150000E+000,-2.355899E+000,-4.061895E+001,-4.881364E+002,-2.709284E+000,,,,,,,,
3.788006000e-01,+1.140000E+000,-2.031412E+000,-3.502434E+001,-5.611861E+002,-2.315809E+000,,,,,,,,
4.419176000e-01,+1.130000E+000,-1.728329E+000,-2.979877E+001,-6.538109E+002,-1.953011E+000,,,,,,,,
5.050522200e-01,+1.120000E+000,-1.446179E+000,-2.493412E+001,-7.744545E+002,-1.619721E+000,,,,,,,,
5.681604000e-01,+1.110000E+000,-1.183638E+000,-2.040754E+001,-9.377871E+002,-1.313838E+000,,,,,,,,
6.312901000e-01,+1.100000E+000,-9.402729E-001,-1.621160E+001,-1.169873E+003,-1.034300E+000,,,,,,,,
6.944083400e-01,+1.090000E+000,-7.166821E-001,-1.235659E+001,-1.520897E+003,-7.811835E-001,,,,,,,,
7.575491800e-01,+1.080000E+000,-5.110441E-001,-8.811105E+000,-2.113321E+003,-5.519276E-001,,,,,,,,
8.206755200e-01,+1.070000E+000,-3.233307E-001,-5.574667E+000,-3.309306E+003,-3.459638E-001,,,,,,,,
8.838064400e-01,+1.060000E+000,-1.529223E-001,-2.636592E+000,-6.931624E+003,-1.620976E-001,,,,,,,,
9.469339000e-01,+1.050000E+000,+1.954862E-003,+3.370453E-002,+5.371222E+005,+2.052606E-003,,,,,,,,
1.010096000e+00,+1.040000E+000,+1.397134E-001,+2.408851E+000,+7.443812E+003,+1.453019E-001,,,,,,,,
1.073215100e+00,+1.030000E+000,+2.643508E-001,+4.557773E+000,+3.896337E+003,+2.722813E-001,,,,,,,,
1.136348940e+00,+1.020000E+000,+3.763530E-001,+6.488844E+000,+2.710222E+003,+3.838800E-001,,,,,,,,
1.199480860e+00,+1.010000E+000,+4.766966E-001,+8.218907E+000,+2.118748E+003,+4.814636E-001,,,,,,,,
1.262622760e+00,+1.000000E+000,+5.662139E-001,+9.762309E+000,+1.766117E+003,+5.662139E-001,,,,,,,,
1.325756760e+00,+9.900000E-001,+6.473383E-001,+1.116101E+001,+1.529339E+003,+6.408650E-001,,,,,,,,
1.388881760e+00,+9.800000E-001,+7.202610E-001,+1.241829E+001,+1.360618E+003,+7.058557E-001,,,,,,,,
1.452012500e+00,+9.700000E-001,+7.858946E-001,+1.354991E+001,+1.234262E+003,+7.623178E-001,,,,,,,,
1.515119600e+00,+9.600000E-001,+8.449044E-001,+1.456732E+001,+1.136223E+003,+8.111082E-001,,,,,,,,
1.578234760e+00,+9.500000E-001,+8.994060E-001,+1.550700E+001,+1.056253E+003,+8.544357E-001,,,,,,,,
1.641395100e+00,+9.400000E-001,+9.486005E-001,+1.635518E+001,+9.909335E+002,+8.916845E-001,,,,,,,,
1.704518480e+00,+9.300000E-001,+9.923275E-001,+1.710909E+001,+9.371906E+002,+9.228645E-001,,,,,,,,
1.767650920e+00,+9.200000E-001,+1.032089E+000,+1.779463E+001,+8.913962E+002,+9.495217E-001,,,,,,,,
1.830793520e+00,+9.100000E-001,+1.067684E+000,+1.840834E+001,+8.523125E+002,+9.715920E-001,,,,,,,,
1.893918220e+00,+9.000000E-001,+1.099520E+000,+1.895725E+001,+8.185388E+002,+9.895682E-001,,,,,,,,
1.957056020e+00,+8.900000E-001,+1.126954E+000,+1.943023E+001,+7.897398E+002,+1.002989E+000,,,,,,,,
2.020201560e+00,+8.800000E-001,+1.152103E+000,+1.986385E+001,+7.638206E+002,+1.013851E+000,,,,,,,,
2.083335020e+00,+8.700000E-001,+1.174044E+000,+2.024214E+001,+7.410282E+002,+1.021419E+000,,,,,,,,
2.146506560e+00,+8.600000E-001,+1.193402E+000,+2.057590E+001,+7.206289E+002,+1.026326E+000,,,,,,,,
2.209632940e+00,+8.500000E-001,+1.210141E+000,+2.086451E+001,+7.023973E+002,+1.028620E+000,,,,,,,,
2.272782920e+00,+8.400000E-001,+1.224279E+000,+2.110826E+001,+6.861180E+002,+1.028395E+000,,,,,,,,
2.335915140e+00,+8.300000E-001,+1.237331E+000,+2.133330E+001,+6.707985E+002,+1.026985E+000,,,,,,,,
2.399051800e+00,+8.200000E-001,+1.247852E+000,+2.151468E+001,+6.571294E+002,+1.023238E+000,,,,,,,,
2.462179600e+00,+8.100000E-001,+1.256648E+000,+2.166634E+001,+6.445719E+002,+1.017885E+000,,,,,,,,
2.525310960e+00,+8.000000E-001,+1.265458E+000,+2.181823E+001,+6.321824E+002,+1.012366E+000,,,,,,,,
2.588450780e+00,+7.900000E-001,+1.271867E+000,+2.192875E+001,+6.211339E+002,+1.004775E+000,,,,,,,,
2.651592340e+00,+7.800000E-001,+1.277845E+000,+2.203181E+001,+6.104027E+002,+9.967190E-001,,,,,,,,
2.714725660e+00,+7.700000E-001,+1.283232E+000,+2.212468E+001,+6.000476E+002,+9.880883E-001,,,,,,,,
2.777867840e+00,+7.600000E-001,+1.287942E+000,+2.220589E+001,+5.900888E+002,+9.788357E-001,,,,,,,,
2.840972460e+00,+7.500000E-001,+1.292035E+000,+2.227646E+001,+5.804798E+002,+9.690260E-001,,,,,,,,
2.904089060e+00,+7.400000E-001,+1.295925E+000,+2.234353E+001,+5.710208E+002,+9.589844E-001,,,,,,,,
2.967214780e+00,+7.300000E-001,+1.299226E+000,+2.240045E+001,+5.618730E+002,+9.484349E-001,,,,,,,,
3.030352620e+00,+7.200000E-001,+1.301237E+000,+2.243512E+001,+5.533197E+002,+9.368906E-001,,,,,,,,
