
START TIME : 2023-12-26 19:36:32
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.200000E+000,-5.874069E+000,-1.012771E+002,-2.042877E+002,-7.048883E+000,,,,,,,,
6.313806000e-02,+1.190000E+000,-4.749353E+000,-8.188539E+001,-2.505605E+002,-5.651730E+000,,,,,,,,
1.262715400e-01,+1.180000E+000,-4.228635E+000,-7.290750E+001,-2.790498E+002,-4.989790E+000,,,,,,,,
1.894140600e-01,+1.170000E+000,-3.736519E+000,-6.442273E+001,-3.131257E+002,-4.371727E+000,,,,,,,,
2.525743000e-01,+1.160000E+000,-3.260573E+000,-5.621678E+001,-3.557656E+002,-3.782265E+000,,,,,,,,
3.156837200e-01,+1.150000E+000,-2.803961E+000,-4.834415E+001,-4.101341E+002,-3.224555E+000,,,,,,,,
3.788043800e-01,+1.140000E+000,-2.369021E+000,-4.084519E+001,-4.812114E+002,-2.700684E+000,,,,,,,,
4.419476000e-01,+1.130000E+000,-1.957870E+000,-3.375638E+001,-5.771579E+002,-2.212393E+000,,,,,,,,
5.050835800e-01,+1.120000E+000,-1.573995E+000,-2.713785E+001,-7.115651E+002,-1.762875E+000,,,,,,,,
5.682032200e-01,+1.110000E+000,-1.216165E+000,-2.096835E+001,-9.127054E+002,-1.349943E+000,,,,,,,,
6.313273200e-01,+1.100000E+000,-8.876561E-001,-1.530441E+001,-1.239219E+003,-9.764217E-001,,,,,,,,
6.944409400e-01,+1.090000E+000,-5.895798E-001,-1.016517E+001,-1.848774E+003,-6.426419E-001,,,,,,,,
7.575759000e-01,+1.080000E+000,-3.199816E-001,-5.516925E+000,-3.375194E+003,-3.455802E-001,,,,,,,,
8.207148600e-01,+1.070000E+000,-8.012740E-002,-1.381507E+000,-1.335373E+004,-8.573632E-002,,,,,,,,
8.838512600e-01,+1.060000E+000,+1.315450E-001,+2.268017E+000,+8.058079E+003,+1.394377E-001,,,,,,,,
