TIME,V,I,I,pce
1.84E-03,8.70E-01,-1.10E-03,0.0011,16.5000 
1.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
2.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
3.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
4.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
5.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
6.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
7.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
8.02E-01,8.70E-01,-1.10E-03,0.0011,16.5000 
9.02E-01,8.70E-01,-1.11E-03,0.00111,16.6500 
1.00E+00,8.70E-01,-1.11E-03,0.00111,16.6500 
1.10E+00,8.70E-01,-1.11E-03,0.00111,16.6500 
1.20E+00,8.70E-01,-1.11E-03,0.00111,16.6500 
1.30E+00,8.70E-01,-1.11E-03,0.00111,16.6500 
1.40E+00,8.70E-01,-1.11E-03,0.00111,16.6500 
1.50E+00,8.70E-01,-1.11E-03,0.00111,16.6500 
1.60E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
1.70E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
1.80E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
1.90E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
2.00E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
2.10E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
2.20E+00,8.70E-01,-1.12E-03,0.00112,16.8000 
2.30E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
2.40E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
2.50E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
2.60E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
2.70E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
2.80E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
2.90E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
3.00E+00,8.70E-01,-1.13E-03,0.00113,16.9500 
3.10E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.20E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.30E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.40E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.50E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.60E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.70E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.80E+00,8.70E-01,-1.14E-03,0.00114,17.1000 
3.90E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.00E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.10E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.20E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.30E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.40E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.50E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.60E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.70E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.80E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
4.90E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
5.00E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
5.10E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
5.20E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
5.30E+00,8.70E-01,-1.15E-03,0.00115,17.2500 
5.40E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
5.50E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
5.60E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
5.70E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
5.80E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
5.90E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.00E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.10E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.20E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.30E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.40E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.50E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.60E+00,8.70E-01,-1.16E-03,0.00116,17.4000 
6.70E+00,8.70E-01,-1.17E-03,0.00117,17.5500 
6.80E+00,8.70E-01,-1.17E-03,0.00117,17.5500 
6.90E+00,8.70E-01,-1.17E-03,0.00117,17.5500 
7.00E+00,8.70E-01,-1.17E-03,0.00117,17.5500 
