
START TIME : 2023-12-28 19:32:36
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.200000E+000,-4.922966E+000,-8.487872E+001,-2.437555E+002,-5.907559E+000,,,,,,,,
6.315692000e-02,+1.190000E+000,-5.210524E+000,-8.983663E+001,-2.283839E+002,-6.200524E+000,,,,,,,,
1.262995200e-01,+1.180000E+000,-4.634993E+000,-7.991368E+001,-2.545851E+002,-5.469292E+000,,,,,,,,
1.894504400e-01,+1.170000E+000,-4.122125E+000,-7.107112E+001,-2.838342E+002,-4.822886E+000,,,,,,,,
2.525846000e-01,+1.160000E+000,-3.643629E+000,-6.282119E+001,-3.183639E+002,-4.226610E+000,,,,,,,,
3.157238200e-01,+1.150000E+000,-3.193532E+000,-5.506089E+001,-3.601029E+002,-3.672561E+000,,,,,,,,
3.788712400e-01,+1.140000E+000,-2.768733E+000,-4.773678E+001,-4.117407E+002,-3.156356E+000,,,,,,,,
4.419905200e-01,+1.130000E+000,-2.368373E+000,-4.083402E+001,-4.771207E+002,-2.676262E+000,,,,,,,,
5.051136400e-01,+1.120000E+000,-1.993994E+000,-3.437920E+001,-5.616869E+002,-2.233273E+000,,,,,,,,
5.682446400e-01,+1.110000E+000,-1.642469E+000,-2.831843E+001,-6.758120E+002,-1.823140E+000,,,,,,,,
6.313840400e-01,+1.100000E+000,-1.316231E+000,-2.269364E+001,-8.357194E+002,-1.447854E+000,,,,,,,,
6.945005000e-01,+1.090000E+000,-1.015749E+000,-1.751292E+001,-1.073100E+003,-1.107167E+000,,,,,,,,
7.576311400e-01,+1.080000E+000,-7.390587E-001,-1.274239E+001,-1.461318E+003,-7.981833E-001,,,,,,,,
8.207522600e-01,+1.070000E+000,-4.873608E-001,-8.402773E+000,-2.195499E+003,-5.214761E-001,,,,,,,,
8.838728400e-01,+1.060000E+000,-2.602571E-001,-4.487191E+000,-4.072896E+003,-2.758725E-001,,,,,,,,
9.470139200e-01,+1.050000E+000,-5.655656E-002,-9.751131E-001,-1.856549E+004,-5.938438E-002,,,,,,,,
1.010141560e+00,+1.040000E+000,+1.239965E-001,+2.137870E+000,+8.387336E+003,+1.289563E-001,,,,,,,,
1.073283240e+00,+1.030000E+000,+2.833545E-001,+4.885422E+000,+3.635023E+003,+2.918551E-001,,,,,,,,
1.136408600e+00,+1.020000E+000,+4.228753E-001,+7.290953E+000,+2.412059E+003,+4.313328E-001,,,,,,,,
