
START TIME : 2023-12-28 19:22:30
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.200000E+000,-4.416340E+000,-7.614379E+001,-2.717182E+002,-5.299607E+000,,,,,,,,
6.317094000e-02,+1.190000E+000,-3.075447E+000,-5.302494E+001,-3.869357E+002,-3.659782E+000,,,,,,,,
1.263116400e-01,+1.180000E+000,-2.553828E+000,-4.403152E+001,-4.620515E+002,-3.013517E+000,,,,,,,,
1.894456200e-01,+1.170000E+000,-2.166633E+000,-3.735575E+001,-5.400083E+002,-2.534961E+000,,,,,,,,
2.526008600e-01,+1.160000E+000,-1.825126E+000,-3.146768E+001,-6.355727E+002,-2.117146E+000,,,,,,,,
3.157445400e-01,+1.150000E+000,-1.511299E+000,-2.605687E+001,-7.609350E+002,-1.737993E+000,,,,,,,,
3.788970600e-01,+1.140000E+000,-1.218459E+000,-2.100792E+001,-9.356077E+002,-1.389044E+000,,,,,,,,
4.420304000e-01,+1.130000E+000,-9.445961E-001,-1.628614E+001,-1.196279E+003,-1.067394E+000,,,,,,,,
5.051720800e-01,+1.120000E+000,-6.900788E-001,-1.189791E+001,-1.623003E+003,-7.728883E-001,,,,,,,,
5.683165600e-01,+1.110000E+000,-4.524686E-001,-7.801182E+000,-2.453209E+003,-5.022401E-001,,,,,,,,
6.314574600e-01,+1.100000E+000,-2.325919E-001,-4.010206E+000,-4.729313E+003,-2.558511E-001,,,,,,,,
6.946098200e-01,+1.090000E+000,-3.028680E-002,-5.221861E-001,-3.598928E+004,-3.301261E-002,,,,,,,,
7.577432600e-01,+1.080000E+000,+1.533794E-001,+2.644473E+000,+7.041362E+003,+1.656498E-001,,,,,,,,
8.208524400e-01,+1.070000E+000,+3.205667E-001,+5.527012E+000,+3.337839E+003,+3.430064E-001,,,,,,,,
8.840006400e-01,+1.060000E+000,+4.711933E-001,+8.124022E+000,+2.249608E+003,+4.994649E-001,,,,,,,,
9.471458000e-01,+1.050000E+000,+6.059883E-001,+1.044807E+001,+1.732707E+003,+6.362877E-001,,,,,,,,
1.010281920e+00,+1.040000E+000,+7.247142E-001,+1.249507E+001,+1.435048E+003,+7.537028E-001,,,,,,,,
1.073410720e+00,+1.030000E+000,+8.295095E-001,+1.430189E+001,+1.241698E+003,+8.543948E-001,,,,,,,,
1.136539940e+00,+1.020000E+000,+9.199647E-001,+1.586146E+001,+1.108738E+003,+9.383640E-001,,,,,,,,
1.199680660e+00,+1.010000E+000,+9.986626E-001,+1.721832E+001,+1.011353E+003,+1.008649E+000,,,,,,,,
1.262830780e+00,+1.000000E+000,+1.066176E+000,+1.838234E+001,+9.379318E+002,+1.066176E+000,,,,,,,,
1.325981600e+00,+9.900000E-001,+1.123499E+000,+1.937066E+001,+8.811760E+002,+1.112264E+000,,,,,,,,
1.389118320e+00,+9.800000E-001,+1.171711E+000,+2.020192E+001,+8.363835E+002,+1.148277E+000,,,,,,,,
1.452259280e+00,+9.700000E-001,+1.212132E+000,+2.089883E+001,+8.002429E+002,+1.175768E+000,,,,,,,,
1.515389900e+00,+9.600000E-001,+1.245368E+000,+2.147187E+001,+7.708563E+002,+1.195554E+000,,,,,,,,
1.578532020e+00,+9.500000E-001,+1.273137E+000,+2.195064E+001,+7.461883E+002,+1.209480E+000,,,,,,,,
1.641683680e+00,+9.400000E-001,+1.295449E+000,+2.233533E+001,+7.256172E+002,+1.217722E+000,,,,,,,,
1.704822000e+00,+9.300000E-001,+1.313801E+000,+2.265174E+001,+7.078699E+002,+1.221835E+000,,,,,,,,
1.767971580e+00,+9.200000E-001,+1.329309E+000,+2.291912E+001,+6.920889E+002,+1.222964E+000,,,,,,,,
1.831124020e+00,+9.100000E-001,+1.341910E+000,+2.313638E+001,+6.781379E+002,+1.221138E+000,,,,,,,,
1.894259960e+00,+9.000000E-001,+1.352222E+000,+2.331418E+001,+6.655711E+002,+1.217000E+000,,,,,,,,
1.957405080e+00,+8.900000E-001,+1.360378E+000,+2.345480E+001,+6.542299E+002,+1.210737E+000,,,,,,,,
2.020535000e+00,+8.800000E-001,+1.366389E+000,+2.355843E+001,+6.440332E+002,+1.202423E+000,,,,,,,,
2.083665380e+00,+8.700000E-001,+1.371205E+000,+2.364146E+001,+6.344786E+002,+1.192948E+000,,,,,,,,
2.146802000e+00,+8.600000E-001,+1.375621E+000,+2.371760E+001,+6.251724E+002,+1.183034E+000,,,,,,,,
2.209926740e+00,+8.500000E-001,+1.378638E+000,+2.376962E+001,+6.165506E+002,+1.171842E+000,,,,,,,,
2.273085680e+00,+8.400000E-001,+1.381112E+000,+2.381227E+001,+6.082057E+002,+1.160134E+000,,,,,,,,
2.336226480e+00,+8.300000E-001,+1.383158E+000,+2.384756E+001,+6.000759E+002,+1.148021E+000,,,,,,,,
2.399365140e+00,+8.200000E-001,+1.384822E+000,+2.387624E+001,+5.921338E+002,+1.135554E+000,,,,,,,,
2.462512020e+00,+8.100000E-001,+1.385401E+000,+2.388622E+001,+5.846684E+002,+1.122175E+000,,,,,,,,
2.525656860e+00,+8.000000E-001,+1.386458E+000,+2.390445E+001,+5.770099E+002,+1.109166E+000,,,,,,,,
2.588808800e+00,+7.900000E-001,+1.387204E+000,+2.391731E+001,+5.694908E+002,+1.095891E+000,,,,,,,,
2.651964720e+00,+7.800000E-001,+1.387274E+000,+2.391852E+001,+5.622537E+002,+1.082074E+000,,,,,,,,
2.715111320e+00,+7.700000E-001,+1.387927E+000,+2.392978E+001,+5.547841E+002,+1.068704E+000,,,,,,,,
2.778260460e+00,+7.600000E-001,+1.388511E+000,+2.393984E+001,+5.473490E+002,+1.055268E+000,,,,,,,,
2.841404580e+00,+7.500000E-001,+1.388384E+000,+2.393765E+001,+5.401965E+002,+1.041288E+000,,,,,,,,
2.904556760e+00,+7.400000E-001,+1.388609E+000,+2.394153E+001,+5.329075E+002,+1.027570E+000,,,,,,,,
2.967705780e+00,+7.300000E-001,+1.388505E+000,+2.393974E+001,+5.257453E+002,+1.013609E+000,,,,,,,,
3.030838800e+00,+7.200000E-001,+1.388447E+000,+2.393875E+001,+5.185649E+002,+9.996820E-001,,,,,,,,
3.093974620e+00,+7.100000E-001,+1.389077E+000,+2.394961E+001,+5.111307E+002,+9.862449E-001,,,,,,,,
