
START TIME : 2024-01-19 15:47:22
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.400000E+000,-6.926295E+000,-1.194189E+002,-2.021283E+002,-9.696813E+000,,,,,,,,
6.312694000e-02,+1.390000E+000,-8.023256E+000,-1.383320E+002,-1.732464E+002,-1.115233E+001,,,,,,,,
1.262553400e-01,+1.380000E+000,-8.245630E+000,-1.421660E+002,-1.673614E+002,-1.137897E+001,,,,,,,,
1.893826600e-01,+1.370000E+000,-8.096273E+000,-1.395909E+002,-1.692137E+002,-1.109189E+001,,,,,,,,
2.525192200e-01,+1.360000E+000,-7.771953E+000,-1.339992E+002,-1.749882E+002,-1.056986E+001,,,,,,,,
3.156402600e-01,+1.350000E+000,-7.361026E+000,-1.269142E+002,-1.833983E+002,-9.937386E+000,,,,,,,,
3.787697200e-01,+1.340000E+000,-6.902508E+000,-1.190088E+002,-1.941323E+002,-9.249361E+000,,,,,,,,
4.418955800e-01,+1.330000E+000,-6.419097E+000,-1.106741E+002,-2.071943E+002,-8.537398E+000,,,,,,,,
5.050136200e-01,+1.320000E+000,-5.925876E+000,-1.021703E+002,-2.227519E+002,-7.822156E+000,,,,,,,,
5.681379000e-01,+1.310000E+000,-5.430092E+000,-9.362228E+001,-2.412482E+002,-7.113421E+000,,,,,,,,
6.312767200e-01,+1.300000E+000,-4.939718E+000,-8.516755E+001,-2.631729E+002,-6.421633E+000,,,,,,,,
6.943994200e-01,+1.290000E+000,-4.459814E+000,-7.689335E+001,-2.892497E+002,-5.753160E+000,,,,,,,,
7.575197200e-01,+1.280000E+000,-3.991971E+000,-6.882709E+001,-3.206436E+002,-5.109723E+000,,,,,,,,
8.206419200e-01,+1.270000E+000,-3.539139E+000,-6.101964E+001,-3.588443E+002,-4.494706E+000,,,,,,,,
