
START TIME : 2024-01-19 15:51:53
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.400000E+000,-9.749720E+000,-1.680986E+002,-1.435939E+002,-1.364961E+001,,,,,,,,
6.314826000e-02,+1.390000E+000,-1.294922E+001,-2.232624E+002,-1.073424E+002,-1.799941E+001,,,,,,,,
1.262876000e-01,+1.380000E+000,-1.302582E+001,-2.245831E+002,-1.059434E+002,-1.797563E+001,,,,,,,,
1.894231200e-01,+1.370000E+000,-1.265208E+001,-2.181392E+002,-1.082826E+002,-1.733334E+001,,,,,,,,
2.525470200e-01,+1.360000E+000,-1.212082E+001,-2.089796E+002,-1.122037E+002,-1.648431E+001,,,,,,,,
3.156737000e-01,+1.350000E+000,-1.151707E+001,-1.985702E+002,-1.172173E+002,-1.554805E+001,,,,,,,,
3.788084400e-01,+1.340000E+000,-1.087424E+001,-1.874869E+002,-1.232270E+002,-1.457148E+001,,,,,,,,
4.419383000e-01,+1.330000E+000,-1.021477E+001,-1.761167E+002,-1.302036E+002,-1.358564E+001,,,,,,,,
5.050809000e-01,+1.320000E+000,-9.548333E+000,-1.646264E+002,-1.382440E+002,-1.260380E+001,,,,,,,,
5.682121800e-01,+1.310000E+000,-8.881948E+000,-1.531370E+002,-1.474902E+002,-1.163535E+001,,,,,,,,
6.313303600e-01,+1.300000E+000,-8.224783E+000,-1.418066E+002,-1.580589E+002,-1.069222E+001,,,,,,,,
6.944629200e-01,+1.290000E+000,-7.578284E+000,-1.306601E+002,-1.702232E+002,-9.775986E+000,,,,,,,,
7.575808400e-01,+1.280000E+000,-6.948493E+000,-1.198016E+002,-1.842126E+002,-8.894072E+000,,,,,,,,
8.207055800e-01,+1.270000E+000,-6.335483E+000,-1.092325E+002,-2.004583E+002,-8.046063E+000,,,,,,,,
8.838052400e-01,+1.260000E+000,-5.740541E+000,-9.897485E+001,-2.194915E+002,-7.233082E+000,,,,,,,,
9.469273000e-01,+1.250000E+000,-5.169122E+000,-8.912279E+001,-2.418206E+002,-6.461403E+000,,,,,,,,
1.010040340e+00,+1.240000E+000,-4.621381E+000,-7.967898E+001,-2.683181E+002,-5.730512E+000,,,,,,,,
1.073183280e+00,+1.230000E+000,-4.096955E+000,-7.063716E+001,-3.002230E+002,-5.039255E+000,,,,,,,,
1.136317440e+00,+1.220000E+000,-3.599595E+000,-6.206198E+001,-3.389271E+002,-4.391505E+000,,,,,,,,
1.199466260e+00,+1.210000E+000,-3.129489E+000,-5.395671E+001,-3.866446E+002,-3.786682E+000,,,,,,,,
1.262588320e+00,+1.200000E+000,-2.685978E+000,-4.630997E+001,-4.467646E+002,-3.223174E+000,,,,,,,,
1.325708340e+00,+1.190000E+000,-2.271760E+000,-3.916827E+001,-5.238230E+002,-2.703394E+000,,,,,,,,
1.388833480e+00,+1.180000E+000,-1.885513E+000,-3.250885E+001,-6.258243E+002,-2.224906E+000,,,,,,,,
1.451968040e+00,+1.170000E+000,-1.527682E+000,-2.633934E+001,-7.658663E+002,-1.787388E+000,,,,,,,,
1.515100600e+00,+1.160000E+000,-1.199815E+000,-2.068646E+001,-9.668158E+002,-1.391785E+000,,,,,,,,
1.578241500e+00,+1.150000E+000,-8.982599E-001,-1.548724E+001,-1.280253E+003,-1.032999E+000,,,,,,,,
1.641376820e+00,+1.140000E+000,-6.245190E-001,-1.076757E+001,-1.825405E+003,-7.119517E-001,,,,,,,,
1.704514300e+00,+1.130000E+000,-3.767954E-001,-6.496473E+000,-2.998975E+003,-4.257788E-001,,,,,,,,
1.767651840e+00,+1.120000E+000,-1.539094E-001,-2.653610E+000,-7.277010E+003,-1.723785E-001,,,,,,,,
1.830774640e+00,+1.110000E+000,+4.563674E-002,+7.868403E-001,+2.432251E+004,+5.065678E-002,,,,,,,,
1.893901740e+00,+1.100000E+000,+2.231966E-001,+3.848218E+000,+4.928390E+003,+2.455163E-001,,,,,,,,
1.957023220e+00,+1.090000E+000,+3.809762E-001,+6.568555E+000,+2.861071E+003,+4.152641E-001,,,,,,,,
2.020172000e+00,+1.080000E+000,+5.196750E-001,+8.959913E+000,+2.078222E+003,+5.612490E-001,,,,,,,,
2.083293000e+00,+1.070000E+000,+6.433565E-001,+1.109235E+001,+1.663152E+003,+6.883915E-001,,,,,,,,
2.146436060e+00,+1.060000E+000,+7.515642E-001,+1.295800E+001,+1.410392E+003,+7.966581E-001,,,,,,,,
2.209573320e+00,+1.050000E+000,+8.455351E-001,+1.457819E+001,+1.241817E+003,+8.878118E-001,,,,,,,,
2.272825600e+00,+1.040000E+000,+9.286043E-001,+1.601042E+001,+1.119960E+003,+9.657485E-001,,,,,,,,
2.335943000e+00,+1.030000E+000,+9.999971E-001,+1.724133E+001,+1.030003E+003,+1.029997E+000,,,,,,,,
2.399082760e+00,+1.020000E+000,+1.062881E+000,+1.832553E+001,+9.596559E+002,+1.084139E+000,,,,,,,,
2.462220100e+00,+1.010000E+000,+1.117939E+000,+1.927480E+001,+9.034485E+002,+1.129118E+000,,,,,,,,
2.525356860e+00,+1.000000E+000,+1.165800E+000,+2.010000E+001,+8.577801E+002,+1.165800E+000,,,,,,,,
2.588502360e+00,+9.900000E-001,+1.207620E+000,+2.082104E+001,+8.197940E+002,+1.195544E+000,,,,,,,,
2.651638040e+00,+9.800000E-001,+1.243041E+000,+2.143175E+001,+7.883888E+002,+1.218181E+000,,,,,,,,
2.714774620e+00,+9.700000E-001,+1.274463E+000,+2.197351E+001,+7.611047E+002,+1.236229E+000,,,,,,,,
2.777911140e+00,+9.600000E-001,+1.299497E+000,+2.240513E+001,+7.387472E+002,+1.247517E+000,,,,,,,,
2.841031320e+00,+9.500000E-001,+1.321648E+000,+2.278703E+001,+7.187996E+002,+1.255566E+000,,,,,,,,
2.904178940e+00,+9.400000E-001,+1.341006E+000,+2.312080E+001,+7.009662E+002,+1.260546E+000,,,,,,,,
2.967311600e+00,+9.300000E-001,+1.356978E+000,+2.339616E+001,+6.853467E+002,+1.261989E+000,,,,,,,,
3.030445100e+00,+9.200000E-001,+1.370308E+000,+2.362600E+001,+6.713819E+002,+1.260683E+000,,,,,,,,
3.093569000e+00,+9.100000E-001,+1.381296E+000,+2.381545E+001,+6.588016E+002,+1.256979E+000,,,,,,,,
3.156704180e+00,+9.000000E-001,+1.390718E+000,+2.397789E+001,+6.471479E+002,+1.251646E+000,,,,,,,,
3.219833700e+00,+8.900000E-001,+1.398106E+000,+2.410527E+001,+6.365756E+002,+1.244314E+000,,,,,,,,
3.282963460e+00,+8.800000E-001,+1.404608E+000,+2.421738E+001,+6.265093E+002,+1.236055E+000,,,,,,,,
3.346090720e+00,+8.700000E-001,+1.408770E+000,+2.428914E+001,+6.175600E+002,+1.225630E+000,,,,,,,,
3.409241620e+00,+8.600000E-001,+1.412001E+000,+2.434485E+001,+6.090646E+002,+1.214321E+000,,,,,,,,
3.472380020e+00,+8.500000E-001,+1.414492E+000,+2.438780E+001,+6.009222E+002,+1.202319E+000,,,,,,,,
3.535497540e+00,+8.400000E-001,+1.416717E+000,+2.442615E+001,+5.929201E+002,+1.190042E+000,,,,,,,,
3.598641820e+00,+8.300000E-001,+1.419504E+000,+2.447420E+001,+5.847114E+002,+1.178188E+000,,,,,,,,
