Time(min),Time(h),Normalized PCE
1,0.01667,0.90756
2,0.03333,1
3,0.05,0.99652
4,0.06667,0.93543
5,0.08333,0.97662
6,0.1,0.97313
7,0.11667,0.96326
8,0.13333,0.9586
9,0.15,0.95319
10,0.16667,0.9415
11,0.18333,0.93371
12,0.2,0.92599
13,0.21667,0.91593
14,0.23333,0.909
15,0.25,0.90196
16,0.26667,0.89687
17,0.28333,0.88994
18,0.3,0.87947
19,0.31667,0.87278
20,0.33333,0.86589
21,0.35,0.85825
22,0.36667,0.85647
23,0.38333,0.84899
24,0.4,0.84103
25,0.41667,0.83588
26,0.43333,0.83073
27,0.45,0.82987
28,0.46667,0.81868
29,0.48333,0.82043
30,0.5,0.81071
31,0.51667,0.80562
32,0.53333,0.80222
33,0.55,0.79517
34,0.56667,0.79554
35,0.58333,0.79035
36,0.6,0.78425
37,0.61667,0.781
38,0.63333,0.77752
39,0.65,0.77668
40,0.66667,0.76995
41,0.68333,0.76995
42,0.7,0.76323
43,0.71667,0.76063
44,0.73333,0.75808
45,0.75,0.75349
46,0.76667,0.75149
47,0.78333,0.74978
48,0.8,0.74649
49,0.81667,0.74726
50,0.83333,0.74306
51,0.85,0.73886
52,0.86667,0.73801
53,0.88333,0.73465
54,0.9,0.73401
55,0.91667,0.72877
56,0.93333,0.72652
57,0.95,0.72456
58,0.96667,0.72624
59,0.98333,0.72069
60,1,0.71906
61,1.01667,0.71986
62,1.03333,0.71653
63,1.05,0.71364
64,1.06667,0.71184
65,1.08333,0.70988
66,1.1,0.70859
67,1.11667,0.70884
68,1.13333,0.70691
69,1.15,0.70278
70,1.16667,0.70572
71,1.18333,0.70187
72,1.2,0.70239
73,1.21667,0.69973
74,1.23333,0.69906
75,1.25,0.69739
76,1.26667,0.69598
77,1.28333,0.69683
78,1.3,0.69573
79,1.31667,0.69329
80,1.33333,0.69373
81,1.35,0.68797
82,1.36667,0.6888
83,1.38333,0.68507
84,1.4,0.69094
85,1.41667,0.68657
86,1.43333,0.68304
87,1.45,0.68574
88,1.46667,0.68221
89,1.48333,0.68221
90,1.5,0.68086
91,1.51667,0.68304
92,1.53333,0.68082
93,1.55,0.68139
94,1.56667,0.68386
95,1.58333,0.68325
96,1.6,0.67773
97,1.61667,0.67892
98,1.63333,0.68158
99,1.65,0.67833
100,1.66667,0.68086
101,1.68333,0.6781
102,1.7,0.67742
103,1.71667,0.67591
104,1.73333,0.67665
105,1.75,0.67497
106,1.76667,0.67727
107,1.78333,0.67711
108,1.8,0.67645
109,1.81667,0.67243
110,1.83333,0.67199
111,1.85,0.6704
112,1.86667,0.67199
113,1.88333,0.67543
114,1.9,0.67251
115,1.91667,0.67013
116,1.93333,0.66855
117,1.95,0.67151
118,1.96667,0.66623
119,1.98333,0.67234
120,2,0.66825
121,2.01667,0.66951
122,2.03333,0.6716
123,2.05,0.66868
124,2.06667,0.66537
125,2.08333,0.66527
126,2.1,0.66289
127,2.11667,0.66454
128,2.13333,0.66537
129,2.15,0.66371
130,2.16667,0.6662
131,2.18333,0.662
132,2.2,0.66371
133,2.21667,0.66206
134,2.23333,0.66206
135,2.25,0.66173
136,2.26667,0.66537
137,2.28333,0.65955
138,2.3,0.65954
139,2.31667,0.6604
140,2.33333,0.65966
141,2.35,0.65875
142,2.36667,0.6604
143,2.38333,0.65954
144,2.4,0.65787
145,2.41667,0.65958
146,2.43333,0.6604
147,2.45,0.65464
148,2.46667,0.65703
149,2.48333,0.65627
150,2.5,0.65464
151,2.51667,0.65544
152,2.53333,0.65536
153,2.55,0.653
154,2.56667,0.65627
155,2.58333,0.65378
156,2.6,0.65055
157,2.61667,0.6513
158,2.63333,0.65136
159,2.65,0.64973
160,2.66667,0.64958
161,2.68333,0.65055
162,2.7,0.6509
163,2.71667,0.64973
164,2.73333,0.64965
165,2.75,0.65218
166,2.76667,0.65218
167,2.78333,0.64974
168,2.8,0.65055
169,2.81667,0.64809
170,2.83333,0.65369
171,2.85,0.65055
172,2.86667,0.65055
173,2.88333,0.64716
174,2.9,0.64965
175,2.91667,0.64891
176,2.93333,0.64564
177,2.95,0.64877
178,2.96667,0.64727
179,2.98333,0.64553
180,3,0.64645
181,3.01667,0.64716
182,3.03333,0.64965
183,3.05,0.64645
184,3.06667,0.64617
185,3.08333,0.64965
186,3.1,0.64564
187,3.11667,0.64716
188,3.13333,0.64482
189,3.15,0.64236
190,3.16667,0.64154
191,3.18333,0.6422
192,3.2,0.64154
193,3.21667,0.6422
194,3.23333,0.64032
195,3.25,0.63905
196,3.26667,0.63824
197,3.28333,0.63948
198,3.3,0.64137
199,3.31667,0.63745
200,3.33333,0.64032
201,3.35,0.64032
202,3.36667,0.63566
203,3.38333,0.63745
204,3.4,0.63451
205,3.41667,0.63843
206,3.43333,0.63865
207,3.45,0.63662
208,3.46667,0.63698
209,3.48333,0.63723
210,3.5,0.63745
211,3.51667,0.63663
212,3.53333,0.63662
213,3.55,0.63806
214,3.56667,0.63889
215,3.58333,0.63991
216,3.6,0.63971
217,3.61667,0.63745
218,3.63333,0.63827
219,3.65,0.63827
220,3.66667,0.63614
221,3.68333,0.63557
222,3.7,0.63557
223,3.71667,0.6364
224,3.73333,0.63489
225,3.75,0.63419
226,3.76667,0.63698
227,3.78333,0.63948
228,3.8,0.63581
229,3.81667,0.635
230,3.83333,0.63363
231,3.85,0.63486
232,3.86667,0.6364
233,3.88333,0.63614
234,3.9,0.63652
235,3.91667,0.6364
236,3.93333,0.63475
237,3.95,0.63254
238,3.96667,0.6364
239,3.98333,0.63363
240,4,0.63363
241,4.01667,0.63009
242,4.03333,0.63061
243,4.05,0.62933
244,4.06667,0.63173
245,4.08333,0.62945
246,4.1,0.63178
247,4.11667,0.63212
248,4.13333,0.62978
249,4.15,0.63144
250,4.16667,0.63061
251,4.18333,0.63091
252,4.2,0.63037
253,4.21667,0.63037
254,4.23333,0.62861
255,4.25,0.63061
256,4.26667,0.62895
257,4.28333,0.62645
258,4.3,0.62978
259,4.31667,0.62611
260,4.33333,0.63196
261,4.35,0.62832
262,4.36667,0.63144
263,4.38333,0.63061
264,4.4,0.62681
265,4.41667,0.62845
266,4.43333,0.6273
267,4.45,0.62681
268,4.46667,0.6273
269,4.48333,0.6267
270,4.5,0.62564
271,4.51667,0.6273
272,4.53333,0.6273
273,4.55,0.62647
274,4.56667,0.62647
275,4.58333,0.62611
276,4.6,0.62763
277,4.61667,0.62813
278,4.63333,0.62647
279,4.65,0.62494
280,4.66667,0.62285
281,4.68333,0.62354
282,4.7,0.62518
283,4.71667,0.62527
284,4.73333,0.62611
285,4.75,0.62223
286,4.76667,0.62436
287,4.78333,0.62482
288,4.8,0.62482
289,4.81667,0.62647
290,4.83333,0.62399
291,4.85,0.62647
292,4.86667,0.62564
293,4.88333,0.62425
294,4.9,0.62109
295,4.91667,0.62276
296,4.93333,0.62068
297,4.95,0.6219
298,4.96667,0.62179
299,4.98333,0.62026
300,5,0.6218
301,5.01667,0.62316
302,5.03333,0.62399
303,5.05,0.6219
304,5.06667,0.62233
305,5.08333,0.62444
306,5.1,0.62109
307,5.11667,0.61885
308,5.13333,0.62027
309,5.15,0.62083
310,5.16667,0.61967
311,5.18333,0.62049
312,5.2,0.62296
313,5.21667,0.62132
314,5.23333,0.62132
315,5.25,0.6218
316,5.26667,0.61917
317,5.28333,0.61902
318,5.3,0.61863
319,5.31667,0.62214
320,5.33333,0.61985
321,5.35,0.61908
322,5.36667,0.61967
323,5.38333,0.61691
324,5.4,0.62083
325,5.41667,0.61902
326,5.43333,0.62027
327,5.45,0.61781
328,5.46667,0.61945
329,5.48333,0.61985
330,5.5,0.62068
331,5.51667,0.6182
332,5.53333,0.61737
333,5.55,0.6182
334,5.56667,0.61737
335,5.58333,0.61863
336,5.6,0.61699
337,5.61667,0.6188
338,5.63333,0.61482
339,5.65,0.61637
340,5.66667,0.61699
341,5.68333,0.6172
342,5.7,0.61475
343,5.71667,0.61556
344,5.73333,0.61699
345,5.75,0.61654
346,5.76667,0.61618
347,5.78333,0.61391
348,5.8,0.61827
349,5.81667,0.61454
350,5.83333,0.61667
