Time(min),Time(h),Normalized PCE,,,
1,0.01667,0.81538,,,
2,0.03333,0.78245,,,
3,0.05,0.84356,,,
4,0.06667,0.90131,,,
5,0.08333,0.91358,,,
6,0.1,0.9467,,,
7,0.11667,0.95547,,,
8,0.13333,0.96115,,,
9,0.15,0.96268,,,
10,0.16667,0.96648,,,
11,0.18333,0.96619,,,
12,0.2,0.96825,,,
13,0.21667,1,,,
14,0.23333,0.96825,,,
15,0.25,0.95367,,,
16,0.26667,0.95583,,,
17,0.28333,0.97595,,,
18,0.3,0.98022,,,
19,0.31667,0.98334,,,
20,0.33333,0.98776,,,
21,0.35,0.98389,,,
22,0.36667,0.99222,,,
23,0.38333,0.99045,,,
24,0.4,0.99045,,,
25,0.41667,0.99133,,,
26,0.43333,0.98986,,,
27,0.45,0.99044,,,
28,0.46667,0.99512,,,
29,0.48333,0.99314,,,
30,0.5,0.9931,,,
31,0.51667,0.99494,,,
32,0.53333,0.99673,,,
33,0.55,0.99853,,,
34,0.56667,0.99843,,,
35,0.58333,0.99673,,,
36,0.6,0.99763,,,
37,0.61667,0.9993,,,
38,0.63333,0.99673,,,
39,0.65,0.99722,,,
40,0.66667,0.97935,,,
41,0.68333,0.84169,,,
42,0.7,0.90439,,,
43,0.71667,0.92831,,,
44,0.73333,0.94021,,,
45,0.75,0.95381,,,
46,0.76667,0.96204,,,
47,0.78333,0.9591,,,
48,0.8,0.92945,,,
49,0.81667,0.9292,,,
50,0.83333,0.90657,,,
51,0.85,0.9133,,,
52,0.86667,0.90163,,,
53,0.88333,0.90482,,,
54,0.9,0.91095,,,
55,0.91667,0.91655,,,
56,0.93333,0.91446,,,
57,0.95,0.91921,,,
58,0.96667,0.9292,,,
59,0.98333,0.93429,,,
60,1,0.9269,,,
61,1.01667,0.93961,,,
62,1.03333,0.94602,,,
63,1.05,0.94239,,,
64,1.06667,0.94778,,,
65,1.08333,0.96914,,,
66,1.1,0.97063,,,
67,1.11667,0.97536,,,
68,1.13333,0.97341,,,
69,1.15,0.97935,,,
70,1.16667,0.9789,,,
71,1.18333,0.97979,,,
72,1.2,0.97801,,,
73,1.21667,0.98038,,,
74,1.23333,0.97496,,,
75,1.25,0.97417,,,
76,1.26667,0.9718,,,
77,1.28333,0.96974,,,
78,1.3,0.96707,,,
