Time(min),Time(h),Normalized PCE
1,0.01667,0.8656
2,0.03333,0.71718
3,0.05,0.74467
4,0.06667,0.82872
5,0.08333,0.71331
6,0.1,0.81488
7,0.11667,0.99747
8,0.13333,1
9,0.15,0.99686
10,0.16667,0.99764
11,0.18333,0.9907
12,0.2,0.98676
13,0.21667,0.98392
14,0.23333,0.98479
15,0.25,0.98225
16,0.26667,0.97971
17,0.28333,0.98056
18,0.3,0.97528
19,0.31667,0.9736
20,0.33333,0.97295
21,0.35,0.96554
22,0.36667,0.96703
23,0.38333,0.96196
24,0.4,0.95773
25,0.41667,0.95666
26,0.43333,0.95229
27,0.45,0.95477
28,0.46667,0.94732
29,0.48333,0.94675
30,0.5,0.94495
31,0.51667,0.94244
32,0.53333,0.94083
33,0.55,0.93928
34,0.56667,0.93659
35,0.58333,0.93491
36,0.6,0.9349
37,0.61667,0.93342
38,0.63333,0.9291
39,0.65,0.9265
40,0.66667,0.93073
41,0.68333,0.92392
42,0.7,0.92413
43,0.71667,0.91903
44,0.73333,0.91986
45,0.75,0.91819
46,0.76667,0.91256
47,0.78333,0.91317
48,0.8,0.90955
49,0.81667,0.90899
50,0.83333,0.90816
51,0.85,0.91088
52,0.86667,0.90732
53,0.88333,0.90481
54,0.9,0.90279
55,0.91667,0.90095
56,0.93333,0.89846
57,0.95,0.89929
58,0.96667,0.89535
59,0.98333,0.89515
60,1,0.89432
61,1.01667,0.89143
62,1.03333,0.89101
63,1.05,0.88892
64,1.06667,0.88927
65,1.08333,0.88976
66,1.1,0.88892
67,1.11667,0.88797
68,1.13333,0.88521
69,1.15,0.8819
70,1.16667,0.87972
71,1.18333,0.87776
72,1.2,0.87895
73,1.21667,0.87403
74,1.23333,0.87403
75,1.25,0.87279
76,1.26667,0.87693
77,1.28333,0.8676
78,1.3,0.87031
79,1.31667,0.86948
80,1.33333,0.86829
81,1.35,0.86534
82,1.36667,0.86782
83,1.38333,0.86384
84,1.4,0.86534
85,1.41667,0.86173
86,1.43333,0.85845
87,1.45,0.85706
88,1.46667,0.86037
89,1.48333,0.85599
90,1.5,0.85954
91,1.51667,0.85599
92,1.53333,0.85292
93,1.55,0.8554
94,1.56667,0.85189
95,1.58333,0.84878
96,1.6,0.84943
97,1.61667,0.84861
98,1.63333,0.84547
99,1.65,0.8463
100,1.66667,0.84533
101,1.68333,0.84571
102,1.7,0.84276
103,1.71667,0.84209
