CYCLE,SECTION,TIME,V,I
1,1,0.00E+00,-2.00E-01,-2.20E-03
1,1,6.32E-02,-1.80E-01,-1.43E-03
1,1,1.26E-01,-1.60E-01,-1.01E-03
1,1,1.89E-01,-1.40E-01,-6.74E-04
1,1,2.53E-01,-1.20E-01,-4.25E-04
1,1,3.16E-01,-1.00E-01,-2.56E-04
1,1,3.79E-01,-8.00E-02,-1.40E-04
1,1,4.42E-01,-6.00E-02,-7.03E-05
1,1,5.05E-01,-4.00E-02,-2.28E-05
1,1,5.68E-01,-2.00E-02,4.35E-06
1,1,6.32E-01,0.00E+00,2.23E-05
1,1,6.95E-01,2.00E-02,3.44E-05
1,1,7.58E-01,4.00E-02,4.14E-05
1,1,8.21E-01,6.00E-02,4.95E-05
1,1,8.84E-01,8.00E-02,5.70E-05
1,1,9.48E-01,1.00E-01,6.39E-05
1,1,1.01E+00,1.20E-01,6.68E-05
1,1,1.07E+00,1.40E-01,7.78E-05
1,1,1.14E+00,1.60E-01,8.42E-05
1,1,1.20E+00,1.80E-01,9.05E-05
1,1,1.26E+00,2.00E-01,1.05E-04
1,1,1.33E+00,2.20E-01,1.15E-04
1,1,1.39E+00,2.40E-01,1.25E-04
1,1,1.45E+00,2.60E-01,1.40E-04
1,1,1.52E+00,2.80E-01,1.57E-04
1,1,1.58E+00,3.00E-01,1.78E-04
1,1,1.64E+00,3.20E-01,1.93E-04
1,1,1.71E+00,3.40E-01,2.18E-04
1,1,1.77E+00,3.60E-01,2.28E-04
1,1,1.83E+00,3.80E-01,2.56E-04
1,1,1.89E+00,4.00E-01,2.87E-04
1,1,1.96E+00,4.20E-01,3.22E-04
1,1,2.02E+00,4.40E-01,3.66E-04
1,1,2.08E+00,4.60E-01,4.14E-04
1,1,2.15E+00,4.80E-01,4.64E-04
1,1,2.21E+00,5.00E-01,5.23E-04
1,1,2.27E+00,5.20E-01,5.99E-04
1,1,2.34E+00,5.40E-01,6.72E-04
1,1,2.40E+00,5.60E-01,7.65E-04
1,1,2.46E+00,5.80E-01,8.77E-04
1,1,2.53E+00,6.00E-01,1.01E-03
1,1,2.59E+00,6.20E-01,1.15E-03
1,1,2.65E+00,6.40E-01,1.31E-03
1,1,2.72E+00,6.60E-01,1.50E-03
1,1,2.78E+00,6.80E-01,1.71E-03
1,1,2.84E+00,7.00E-01,1.94E-03
1,1,2.90E+00,7.20E-01,2.22E-03
1,1,2.97E+00,7.40E-01,2.53E-03
1,1,3.03E+00,7.60E-01,2.91E-03
1,1,3.09E+00,7.80E-01,3.36E-03
1,1,3.16E+00,8.00E-01,3.92E-03
1,1,3.22E+00,8.20E-01,4.67E-03
1,1,3.28E+00,8.40E-01,2.33E-02
1,1,3.35E+00,8.60E-01,2.48E-02
1,1,3.41E+00,8.80E-01,2.56E-02
1,1,3.47E+00,9.00E-01,2.61E-02
1,1,3.54E+00,9.20E-01,2.64E-02
1,1,3.60E+00,9.40E-01,2.71E-02
1,1,3.66E+00,9.60E-01,2.73E-02
1,1,3.73E+00,9.80E-01,2.88E-02
1,1,3.79E+00,1.00E+00,2.96E-02
1,1,3.85E+00,1.02E+00,3.28E-02
1,1,3.92E+00,1.04E+00,3.30E-02
1,1,3.98E+00,1.06E+00,3.45E-02
1,1,4.04E+00,1.08E+00,3.53E-02
1,1,4.10E+00,1.10E+00,3.59E-02
1,1,4.17E+00,1.12E+00,3.86E-02
1,1,4.23E+00,1.14E+00,3.90E-02
1,1,4.29E+00,1.16E+00,4.17E-02
1,1,4.36E+00,1.18E+00,4.19E-02
1,1,4.42E+00,1.20E+00,4.35E-02
1,1,4.48E+00,1.22E+00,4.50E-02
1,1,4.55E+00,1.24E+00,4.58E-02
1,1,4.61E+00,1.26E+00,4.75E-02
1,1,4.67E+00,1.28E+00,4.93E-02
1,1,4.74E+00,1.30E+00,5.07E-02
1,1,4.80E+00,1.32E+00,5.21E-02
1,1,4.86E+00,1.34E+00,5.47E-02
1,1,4.93E+00,1.36E+00,5.65E-02
1,1,4.99E+00,1.38E+00,5.65E-02
1,1,5.05E+00,1.40E+00,5.93E-02
1,1,5.12E+00,1.42E+00,6.11E-02
1,1,5.18E+00,1.44E+00,6.19E-02
1,1,5.24E+00,1.46E+00,6.46E-02
1,1,5.30E+00,1.48E+00,6.54E-02
1,1,5.37E+00,1.50E+00,6.63E-02
1,1,5.43E+00,1.52E+00,6.91E-02
1,1,5.49E+00,1.54E+00,7.03E-02
1,1,5.56E+00,1.56E+00,7.09E-02
1,1,5.62E+00,1.58E+00,7.21E-02
1,1,5.68E+00,1.60E+00,7.32E-02
1,1,5.75E+00,1.62E+00,7.46E-02
1,1,5.81E+00,1.64E+00,7.61E-02
1,1,5.87E+00,1.66E+00,7.76E-02
1,1,5.94E+00,1.68E+00,7.86E-02
1,1,6.00E+00,1.70E+00,8.10E-02
1,1,6.06E+00,1.72E+00,8.42E-02
1,1,6.13E+00,1.74E+00,8.55E-02
1,1,6.19E+00,1.76E+00,8.65E-02
1,1,6.25E+00,1.78E+00,8.71E-02
1,1,6.31E+00,1.80E+00,8.91E-02
1,1,6.38E+00,1.82E+00,9.08E-02
1,1,6.44E+00,1.84E+00,9.29E-02
1,1,6.50E+00,1.86E+00,9.41E-02
1,1,6.57E+00,1.88E+00,9.52E-02
1,1,6.63E+00,1.90E+00,9.74E-02
