#Wave,#Intensity
899.91423626456,450
899.805189010859,458
899.696138825099,459
899.58708570773,459
899.478029659201,461
899.368970679961,463
899.259908770459,460
899.150843931146,459
899.04177616247,458
898.932705464882,459
898.823631838829,456
898.714555284763,457
898.605475803131,461
898.496393394384,460
898.387308058971,462
898.278219797342,457
898.169128609945,461
898.06003449723,460
897.950937459647,461
897.841837497646,461
897.732734611674,464
897.623628802182,461
897.51452006962,463
897.405408414436,466
897.29629383708,465
897.187176338002,461
897.078055917651,463
896.968932576476,466
896.859806314927,466
896.750677133452,461
896.641545032503,462
896.532410012527,462
896.423272073975,462
896.314131217295,457
896.204987442937,461
896.095840751351,456
895.986691142987,467
895.877538618292,457
895.768383177717,459
895.659224821711,467
895.550063550725,462
895.440899365205,465
895.331732265604,459
895.222562252369,463
895.113389325951,468
895.004213486798,468
894.89503473536,460
894.785853072087,464
894.676668497427,462
894.567481011831,465
894.458290615748,466
894.349097309627,463
894.239901093917,465
894.130701969068,464
894.02149993553,462
893.912294993751,459
893.803087144181,458
893.69387638727,467
893.584662723467,471
893.475446153221,466
893.366226676982,468
893.2570042952,469
893.147779008322,461
893.0385508168,470
892.929319721082,464
892.820085721619,459
892.710848818858,466
892.60160901325,463
892.492366305244,467
892.38312069529,464
892.273872183836,466
892.164620771333,464
892.055366458229,465
891.946109244975,467
891.836849132019,464
891.727586119811,467
891.6183202088,462
891.509051399436,465
891.399779692168,471
891.290505087446,466
891.181227585719,466
891.071947187436,470
890.962663893046,461
890.853377703001,465
890.744088617747,463
890.634796637736,466
890.525501763416,466
890.416203995237,468
890.306903333648,470
890.197599779099,468
890.088293332038,465
889.978983992917,469
889.869671762183,467
889.760356640286,466
889.651038627676,468
889.541717724803,470
889.432393932114,468
889.323067250061,467
889.213737679092,470
889.104405219656,475
888.995069872204,475
888.885731637185,471
888.776390515047,470
888.667046506241,468
888.557699611215,473
888.44834983042,470
888.338997164304,474
888.229641613318,466
888.120283177909,470
888.010921858529,471
887.901557655625,469
887.792190569649,468
887.682820601048,472
887.573447750273,478
887.464072017773,473
887.354693403997,468
887.245311909395,474
887.135927534415,464
887.026540279509,471
886.917150145124,474
886.807757131711,467
886.698361239718,473
886.588962469595,475
886.479560821792,470
886.370156296758,469
886.260748894942,478
886.151338616795,471
886.041925462764,472
885.9325094333,467
885.823090528851,468
885.713668749869,471
885.604244096801,474
885.494816570097,467
885.385386170207,468
885.27595289758,466
885.166516752665,474
885.057077735913,474
884.947635847771,470
884.83819108869,475
884.72874345912,479
884.619292959508,474
884.509839590306,471
884.400383351962,476
884.290924244926,478
884.181462269647,475
884.071997426574,478
883.962529716158,471
883.853059138846,484
883.74358569509,481
883.634109385338,474
883.524630210039,475
883.415148169643,479
883.3056632646,481
883.196175495358,473
883.086684862368,475
882.977191366078,481
882.867695006939,472
882.758195785399,478
882.648693701907,482
882.539188756914,477
882.429680950869,487
882.320170284221,481
882.210656757419,476
882.101140370913,476
881.991621125152,482
881.882099020586,480
881.772574057665,488
881.663046236837,480
881.553515558551,478
881.443982023258,490
881.334445631407,484
881.224906383447,487
881.115364279828,481
881.005819320999,484
880.896271507409,482
880.786720839507,483
880.677167317745,484
880.567610942569,488
880.458051714431,491
880.348489633779,484
880.238924701063,492
880.129356916732,483
880.019786281236,492
879.910212795024,493
879.800636458546,493
879.69105727225,488
879.581475236587,487
879.471890352005,485
879.362302618955,487
879.252712037885,489
879.143118609245,491
879.033522333484,491
878.923923211052,490
878.814321242399,486
878.704716427973,489
878.595108768223,488
878.485498263601,492
878.375884914554,484
878.266268721532,491
878.156649684985,494
878.047027805362,496
877.937403083112,489
877.827775518685,491
877.718145112531,489
877.608511865098,489
877.498875776836,496
877.389236848195,497
877.279595079623,496
877.169950471571,488
877.060303024488,485
876.950652738823,500
876.840999615025,492
876.731343653544,495
876.62168485483,491
876.512023219331,501
876.402358747497,499
876.292691439778,495
876.183021296623,488
876.073348318482,504
875.963672505803,495
875.853993859036,503
875.744312378631,494
875.634628065037,505
875.524940918704,503
875.41525094008,498
875.305558129616,500
875.19586248776,498
875.086164014962,501
874.976462711672,507
874.866758578339,506
874.757051615412,500
874.64734182334,505
874.537629202574,503
874.427913753562,507
874.318195476755,503
874.2084743726,505
874.098750441549,506
873.989023684049,507
873.879294100551,502
873.769561691504,520
873.659826457357,510
873.550088398561,512
873.440347515563,509
873.330603808814,511
873.220857278763,509
873.11110792586,519
873.001355750553,505
872.891600753293,513
872.781842934528,516
872.672082294708,517
872.562318834283,512
872.452552553702,514
872.342783453414,514
872.233011533868,521
872.123236795515,514
872.013459238803,515
871.903678864182,515
871.793895672102,518
871.684109663011,518
871.57432083736,515
871.464529195597,532
871.354734738172,523
871.244937465534,528
871.135137378133,535
871.025334476418,513
870.915528760839,529
870.805720231845,536
870.695908889886,531
870.58609473541,524
870.476277768867,525
870.366457990708,534
870.25663540138,531
870.146810001333,520
870.036981791018,522
869.927150770883,529
869.817316941377,538
869.707480302951,544
869.597640856053,539
869.487798601133,535
869.37795353864,529
869.268105669025,529
869.158254992735,533
869.048401510221,538
868.938545221931,527
868.828686128317,543
868.718824229826,540
868.608959526908,536
868.499092020013,530
868.389221709589,544
868.279348596088,537
868.169472679957,541
868.059593961646,528
867.949712441605,549
867.839828120283,540
867.729940998129,547
867.620051075594,540
867.510158353125,552
867.400262831173,543
867.290364510188,548
867.180463390618,561
867.070559472913,541
866.960652757522,546
866.850743244894,549
866.74083093548,555
866.630915829729,541
866.52099792809,541
866.411077231012,567
866.301153738944,552
866.191227452337,558
866.08129837164,552
865.971366497301,559
865.861431829771,562
865.751494369499,574
865.641554116934,568
865.531611072525,568
865.421665236723,566
865.311716609976,560
865.201765192734,572
865.091810985446,558
864.981853988562,560
864.871894202531,557
864.761931627803,556
864.651966264826,559
864.541998114051,565
864.432027175927,564
864.322053450902,563
864.212076939428,573
864.102097641952,572
863.992115558924,580
863.882130690794,565
863.772143038012,578
863.662152601026,577
863.552159380286,580
863.442163376242,583
863.332164589342,581
863.222163020037,597
863.112158668775,577
863.002151536006,585
862.89214162218,569
862.782128927745,584
862.672113453152,588
862.56209519885,598
862.452074165287,574
862.342050352914,595
862.23202376218,592
862.121994393535,592
862.011962247427,599
861.901927324306,598
861.791889624622,599
861.681849148823,595
861.57180589736,601
861.461759870682,587
861.351711069238,596
861.241659493478,623
861.13160514385,607
861.021548020805,616
860.911488124792,620
860.80142545626,601
860.691360015659,614
860.581291803438,602
860.471220820046,637
860.361147065933,610
860.251070541548,620
860.140991247341,627
860.030909183761,623
859.920824351258,619
859.81073675028,631
859.700646381278,621
859.590553244701,628
859.480457340997,612
859.370358670617,624
859.260257234011,627
859.150153031626,641
859.040046063913,624
858.929936331322,629
858.819823834301,634
858.7097085733,632
858.599590548768,637
858.489469761155,629
858.379346210911,644
858.269219898484,645
858.159090824324,640
858.04895898888,641
857.938824392603,644
857.82868703594,660
857.718546919343,655
857.608404043259,660
857.498258408139,660
857.388110014432,651
857.277958862587,646
857.167804953054,668
857.057648286282,661
856.947488862721,657
856.837326682819,654
856.727161747027,662
856.616994055793,668
856.506823609568,672
856.3966504088,678
856.28647445394,679
856.176295745435,669
856.066114283737,670
855.955930069294,690
855.845743102555,688
855.73555338397,691
855.625360913989,696
855.515165693061,698
855.404967721635,678
855.29476700016,682
855.184563529087,699
855.074357308864,702
854.964148339941,688
854.853936622768,700
854.743722157793,708
854.633504945466,708
854.523284986237,694
854.413062280554,700
854.302836828868,708
854.192608631628,715
854.082377689283,721
853.972144002283,705
853.861907571076,716
853.751668396113,704
853.641426477843,707
853.531181816715,718
853.420934413178,736
853.310684267683,717
853.200431380678,723
853.090175752612,720
852.979917383936,756
852.869656275099,733
852.75939242655,735
852.649125838739,770
852.538856512114,751
852.428584447125,742
852.318309644222,758
852.208032103855,746
852.097751826472,756
851.987468812522,744
851.877183062457,780
851.766894576723,763
851.656603355772,786
851.546309400053,764
851.436012710015,775
851.325713286107,783
851.215411128778,778
851.105106238479,787
850.994798615659,772
850.884488260767,762
850.774175174252,789
850.663859356564,796
850.553540808152,811
850.443219529466,788
850.332895520954,793
850.222568783068,816
850.112239316255,814
850.001907120966,806
849.891572197649,820
849.781234546754,831
849.670894168731,807
849.560551064029,830
849.450205233097,822
849.339856676385,823
849.229505394342,821
849.119151387418,834
849.008794656061,847
848.898435200722,841
848.78807302185,849
848.677708119894,851
848.567340495304,849
848.456970148528,850
848.346597080017,855
848.23622129022,854
848.125842779586,863
848.015461548565,858
847.905077597606,863
847.794690927158,857
847.684301537671,873
847.573909429595,890
847.463514603378,885
847.35311705947,932
847.242716798321,885
847.13231382038,904
847.021908126096,875
846.911499715919,927
846.801088590298,899
846.690674749682,898
846.580258194522,891
846.469838925266,901
846.359416942363,922
846.248992246264,915
846.138564837417,937
846.028134716273,934
845.91770188328,907
845.807266338888,947
845.696828083545,943
845.586387117703,962
845.47594344181,961
845.365497056315,933
845.255047961668,916
845.144596158318,963
845.034141646715,965
844.923684427308,972
844.813224500547,973
844.702761866881,978
844.592296526759,977
844.48182848063,990
844.371357728945,970
844.260884272152,982
844.150408110701,1004
844.039929245042,999
843.929447675624,1041
843.818963402895,990
843.708476427306,1022
843.597986749307,1017
843.487494369345,1051
843.376999287872,1047
843.266501505336,1063
843.156001022186,1062
843.045497838872,1061
842.934991955844,1045
842.824483373551,1059
842.713972092442,1046
842.603458112967,1075
842.492941435575,1053
842.382422060715,1076
842.271899988837,1058
842.161375220391,1089
842.050847755825,1054
841.94031759559,1113
841.829784740134,1092
841.719249189906,1084
841.608710945358,1116
841.498170006937,1102
841.387626375093,1097
841.277080050276,1144
841.166531032935,1123
841.05597932352,1127
840.945424922479,1144
840.834867830262,1138
840.724308047319,1166
840.613745574099,1161
840.503180411052,1147
840.392612558626,1164
840.282042017272,1222
840.171468787438,1198
840.060892869574,1227
839.95031426413,1200
839.839732971555,1185
839.729148992299,1213
839.618562326809,1221
839.507972975537,1256
839.397380938932,1226
839.286786217443,1241
839.176188811519,1234
839.065588721609,1253
838.954985948164,1261
838.844380491633,1277
838.733772352464,1278
838.623161531108,1282
838.512548028014,1297
838.401931843631,1328
838.291312978408,1263
838.180691432796,1309
838.070067207243,1318
837.959440302199,1291
837.848810718113,1303
837.738178455435,1321
837.627543514614,1337
837.516905896099,1385
837.406265600341,1334
837.295622627787,1388
837.184976978889,1373
837.074328654094,1375
836.963677653854,1378
836.853023978616,1374
836.74236762883,1391
836.631708604946,1422
836.521046907413,1446
836.410382536681,1404
836.299715493199,1426
836.189045777417,1458
836.078373389783,1465
835.967698330747,1471
835.857020600759,1464
835.746340200268,1468
835.635657129724,1491
835.524971389575,1517
835.414282980272,1495
835.303591902263,1485
835.192898155998,1504
835.082201741928,1534
834.971502660499,1520
834.860800912163,1548
834.750096497369,1512
834.639389416566,1554
834.528679670203,1578
834.417967258731,1579
834.307252182598,1566
834.196534442253,1593
834.085814038147,1628
833.975090970728,1598
833.864365240447,1604
833.753636847751,1633
833.642905793092,1675
833.532172076918,1679
833.421435699678,1686
833.310696661822,1688
833.1999549638,1665
833.089210606061,1708
832.978463589054,1697
832.867713913228,1725
832.756961579034,1740
832.64620658692,1733
832.535448937336,1784
832.424688630732,1783
832.313925667556,1827
832.203160048258,1783
832.092391773288,1787
831.981620843095,1820
831.870847258128,1827
831.760071018836,1813
831.649292125671,1890
831.538510579079,1852
831.427726379512,1899
831.316939527418,1907
831.206150023246,1902
831.095357867447,1921
830.98456306047,1903
830.873765602764,1884
830.762965494778,1927
830.652162736962,1979
830.541357329765,2014
830.430549273637,1972
830.319738569027,1985
830.208925216384,2024
830.098109216158,2032
829.987290568799,2099
829.876469274755,2074
829.765645334476,2081
829.654818748412,2128
829.543989517013,2160
829.433157640726,2092
829.322323120002,2118
829.21148595529,2112
829.100646147039,2136
828.9898036957,2205
828.878958601721,2174
828.768110865552,2181
828.657260487642,2238
828.546407468441,2243
828.435551808398,2254
828.324693507962,2287
828.213832567583,2219
828.10296898771,2289
827.992102768793,2329
827.881233911281,2296
827.770362415624,2387
827.65948828227,2350
827.54861151167,2423
827.437732104272,2363
827.326850060527,2438
827.215965380883,2418
827.10507806579,2433
826.994188115697,2457
826.883295531054,2480
826.772400312311,2529
826.661502459915,2478
826.550601974318,2506
826.439698855968,2587
826.328793105315,2570
826.217884722808,2513
826.106973708897,2580
825.996060064031,2665
825.885143788659,2620
825.774224883231,2688
825.663303348197,2650
825.552379184005,2690
825.441452391105,2618
825.330522969946,2743
825.219590920979,2715
825.108656244651,2790
824.997718941414,2790
824.886779011715,2766
824.775836456005,2876
824.664891274733,2802
824.553943468348,2820
824.4429930373,2886
824.332039982039,2875
824.221084303012,2898
824.110126000671,2917
823.999165075464,2962
823.888201527841,2975
823.777235358251,2997
823.666266567144,3004
823.555295154969,3053
823.444321122175,3069
823.333344469212,3108
823.222365196529,3105
823.111383304576,3148
823.000398793802,3191
822.889411664656,3201
822.778421917588,3238
822.667429553048,3292
822.556434571484,3321
822.445436973347,3252
822.334436759085,3290
822.223433929148,3331
822.112428483985,3422
822.001420424046,3339
821.89040974978,3456
821.779396461636,3474
821.668380560065,3488
821.557362045515,3473
821.446340918435,3513
821.335317179276,3567
821.224290828487,3617
821.113261866516,3577
821.002230293814,3670
820.89119611083,3719
820.780159318013,3726
820.669119915813,3732
820.558077904679,3744
820.44703328506,3871
820.335986057406,3844
820.224936222167,3814
820.113883779791,3933
820.002828730728,3943
819.891771075427,3978
819.780710814339,3908
819.669647947912,3954
819.558582476596,4081
819.447514400839,4057
819.336443721093,4105
819.225370437805,4157
819.114294551426,4263
819.003216062404,4177
818.89213497119,4234
818.781051278232,4235
818.669964983981,4314
818.558876088884,4350
818.447784593393,4405
818.336690497955,4396
818.225593803022,4519
818.114494509041,4454
818.003392616463,4400
817.892288125737,4549
817.781181037312,4665
817.670071351638,4641
817.558959069164,4703
817.447844190339,4692
817.336726715613,4777
817.225606645436,4754
817.114483980256,4863
817.003358720524,4858
816.892230866688,4927
816.781100419198,4919
816.669967378503,4975
816.558831745053,5079
816.447693519298,4986
816.336552701685,5098
816.225409292666,5119
816.11426329269,5126
816.003114702205,5157
815.891963521661,5290
815.780809751508,5278
815.669653392195,5322
815.558494444172,5324
815.447332907887,5319
815.336168783791,5446
815.225002072332,5461
815.113832773961,5564
815.002660889125,5513
814.891486418276,5593
814.780309361862,5631
814.669129720333,5686
814.557947494138,5743
814.446762683727,5826
814.335575289549,5803
814.224385312052,5927
814.113192751688,5957
814.001997608905,5937
813.890799884152,6089
813.77959957788,6160
813.668396690536,6233
813.557191222572,6253
813.445983174436,6186
813.334772546578,6211
813.223559339446,6396
813.112343553491,6413
813.001125189162,6437
812.889904246908,6477
812.778680727179,6567
812.667454630424,6622
812.556225957092,6686
