#Wave,#Intensity
899.91423626456,459
899.805189010859,457
899.696138825099,463
899.58708570773,458
899.478029659201,460
899.368970679961,463
899.259908770459,462
899.150843931146,462
899.04177616247,462
898.932705464882,460
898.823631838829,458
898.714555284763,459
898.605475803131,461
898.496393394384,456
898.387308058971,463
898.278219797342,464
898.169128609945,465
898.06003449723,456
897.950937459647,461
897.841837497646,457
897.732734611674,463
897.623628802182,462
897.51452006962,459
897.405408414436,468
897.29629383708,463
897.187176338002,459
897.078055917651,462
896.968932576476,463
896.859806314927,461
896.750677133452,463
896.641545032503,465
896.532410012527,456
896.423272073975,463
896.314131217295,460
896.204987442937,465
896.095840751351,469
895.986691142987,465
895.877538618292,458
895.768383177717,454
895.659224821711,467
895.550063550725,467
895.440899365205,459
895.331732265604,461
895.222562252369,464
895.113389325951,459
895.004213486798,467
894.89503473536,462
894.785853072087,462
894.676668497427,459
894.567481011831,465
894.458290615748,463
894.349097309627,465
894.239901093917,461
894.130701969068,466
894.02149993553,467
893.912294993751,466
893.803087144181,463
893.69387638727,471
893.584662723467,463
893.475446153221,467
893.366226676982,465
893.2570042952,462
893.147779008322,468
893.0385508168,465
892.929319721082,463
892.820085721619,466
892.710848818858,460
892.60160901325,469
892.492366305244,465
892.38312069529,466
892.273872183836,462
892.164620771333,458
892.055366458229,463
891.946109244975,465
891.836849132019,471
891.727586119811,464
891.6183202088,464
891.509051399436,458
891.399779692168,469
891.290505087446,468
891.181227585719,473
891.071947187436,463
890.962663893046,471
890.853377703001,460
890.744088617747,463
890.634796637736,466
890.525501763416,466
890.416203995237,467
890.306903333648,464
890.197599779099,473
890.088293332038,473
889.978983992917,476
889.869671762183,465
889.760356640286,470
889.651038627676,470
889.541717724803,474
889.432393932114,459
889.323067250061,461
889.213737679092,470
889.104405219656,472
888.995069872204,467
888.885731637185,464
888.776390515047,471
888.667046506241,475
888.557699611215,473
888.44834983042,464
888.338997164304,474
888.229641613318,471
888.120283177909,467
888.010921858529,464
887.901557655625,477
887.792190569649,465
887.682820601048,475
887.573447750273,470
887.464072017773,473
887.354693403997,472
887.245311909395,472
887.135927534415,474
887.026540279509,471
886.917150145124,472
886.807757131711,475
886.698361239718,468
886.588962469595,475
886.479560821792,475
886.370156296758,476
886.260748894942,471
886.151338616795,476
886.041925462764,478
885.9325094333,480
885.823090528851,477
885.713668749869,470
885.604244096801,475
885.494816570097,474
885.385386170207,475
885.27595289758,476
885.166516752665,476
885.057077735913,474
884.947635847771,472
884.83819108869,472
884.72874345912,474
884.619292959508,476
884.509839590306,469
884.400383351962,471
884.290924244926,475
884.181462269647,477
884.071997426574,478
883.962529716158,485
883.853059138846,476
883.74358569509,480
883.634109385338,474
883.524630210039,476
883.415148169643,476
883.3056632646,481
883.196175495358,480
883.086684862368,476
882.977191366078,479
882.867695006939,485
882.758195785399,482
882.648693701907,477
882.539188756914,481
882.429680950869,480
882.320170284221,481
882.210656757419,478
882.101140370913,480
881.991621125152,478
881.882099020586,478
881.772574057665,480
881.663046236837,480
881.553515558551,490
881.443982023258,475
881.334445631407,494
881.224906383447,488
881.115364279828,481
881.005819320999,479
880.896271507409,476
880.786720839507,489
880.677167317745,484
880.567610942569,485
880.458051714431,488
880.348489633779,483
880.238924701063,487
880.129356916732,487
880.019786281236,482
879.910212795024,481
879.800636458546,487
879.69105727225,482
879.581475236587,487
879.471890352005,485
879.362302618955,486
879.252712037885,480
879.143118609245,485
879.033522333484,490
878.923923211052,498
878.814321242399,486
878.704716427973,492
878.595108768223,490
878.485498263601,489
878.375884914554,484
878.266268721532,487
878.156649684985,491
878.047027805362,487
877.937403083112,489
877.827775518685,493
877.718145112531,488
877.608511865098,492
877.498875776836,492
877.389236848195,491
877.279595079623,491
877.169950471571,494
877.060303024488,498
876.950652738823,490
876.840999615025,499
876.731343653544,495
876.62168485483,496
876.512023219331,500
876.402358747497,492
876.292691439778,498
876.183021296623,497
876.073348318482,502
875.963672505803,497
875.853993859036,505
875.744312378631,502
875.634628065037,507
875.524940918704,513
875.41525094008,497
875.305558129616,507
875.19586248776,494
875.086164014962,500
874.976462711672,505
874.866758578339,501
874.757051615412,507
874.64734182334,509
874.537629202574,502
874.427913753562,517
874.318195476755,502
874.2084743726,503
874.098750441549,512
873.989023684049,509
873.879294100551,505
873.769561691504,510
873.659826457357,504
873.550088398561,506
873.440347515563,519
873.330603808814,503
873.220857278763,518
873.11110792586,514
873.001355750553,519
872.891600753293,510
872.781842934528,522
872.672082294708,511
872.562318834283,513
872.452552553702,518
872.342783453414,516
872.233011533868,512
872.123236795515,510
872.013459238803,520
871.903678864182,516
871.793895672102,520
871.684109663011,515
871.57432083736,517
871.464529195597,520
871.354734738172,516
871.244937465534,521
871.135137378133,525
871.025334476418,505
870.915528760839,528
870.805720231845,524
870.695908889886,525
870.58609473541,521
870.476277768867,524
870.366457990708,539
870.25663540138,524
870.146810001333,532
870.036981791018,541
869.927150770883,534
869.817316941377,539
869.707480302951,539
869.597640856053,528
869.487798601133,534
869.37795353864,531
869.268105669025,547
869.158254992735,526
869.048401510221,534
868.938545221931,526
868.828686128317,547
868.718824229826,527
868.608959526908,536
868.499092020013,552
868.389221709589,531
868.279348596088,538
868.169472679957,546
868.059593961646,521
867.949712441605,535
867.839828120283,551
867.729940998129,537
867.620051075594,551
867.510158353125,545
867.400262831173,541
867.290364510188,551
867.180463390618,533
867.070559472913,542
866.960652757522,542
866.850743244894,554
866.74083093548,545
866.630915829729,547
866.52099792809,541
866.411077231012,543
866.301153738944,560
866.191227452337,563
866.08129837164,562
865.971366497301,552
865.861431829771,549
865.751494369499,568
865.641554116934,555
865.531611072525,549
865.421665236723,544
865.311716609976,559
865.201765192734,555
865.091810985446,572
864.981853988562,559
864.871894202531,569
864.761931627803,574
864.651966264826,570
