[Measurement conditions]
Sample identification,20231019-pin-0.025%p
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,19/10ÔÂ/2023 21:37
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,3.016000000,59.956145600
Scan step size,0.0434658
No. of points, 1310
Scan type,CONTINUOUS
Time per step,56.865
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.037732880, 56.865, 3097.0, 55.6507
3.081198640, 56.865, 3050.0, 55.2268
3.124664400, 56.865, 2962.0, 54.4243
3.168130160, 56.865, 2904.0, 53.8888
3.211595920, 56.865, 2817.0, 53.0754
3.255061680, 56.865, 2779.0, 52.7162
3.298527440, 56.865, 2638.0, 51.3615
3.341993200, 56.865, 2438.0, 49.3761
3.385458960, 56.865, 2479.0, 49.7896
3.428924720, 56.865, 2527.0, 50.2693
3.472390480, 56.865, 2325.0, 48.2183
3.515856240, 56.865, 2303.0, 47.9896
3.559322000, 56.865, 2196.0, 46.8615
3.602787760, 56.865, 2119.0, 46.0326
3.646253520, 56.865, 2001.0, 44.7325
3.689719280, 56.865, 2047.0, 45.2438
3.733185040, 56.865, 1903.0, 43.6234
3.776650800, 56.865, 1917.0, 43.7836
3.820116560, 56.865, 1861.0, 43.1393
3.863582320, 56.865, 1738.0, 41.6893
3.907048080, 56.865, 1743.0, 41.7493
3.950513840, 56.865, 1754.0, 41.8808
3.993979600, 56.865, 1651.0, 40.6325
4.037445360, 56.865, 1621.0, 40.2616
4.080911120, 56.865, 1561.0, 39.5095
4.124376880, 56.865, 1510.0, 38.8587
4.167842640, 56.865, 1522.0, 39.0128
4.211308400, 56.865, 1412.0, 37.5766
4.254774160, 56.865, 1401.0, 37.4299
4.298239920, 56.865, 1353.0, 36.7831
4.341705680, 56.865, 1449.0, 38.0657
4.385171440, 56.865, 1330.0, 36.4692
4.428637200, 56.865, 1267.0, 35.5949
4.472102960, 56.865, 1256.0, 35.4401
4.515568720, 56.865, 1254.0, 35.4119
4.559034480, 56.865, 1159.0, 34.0441
4.602500240, 56.865, 1141.0, 33.7787
4.645966000, 56.865, 1088.0, 32.9848
4.689431760, 56.865, 1113.0, 33.3617
4.732897520, 56.865, 1007.0, 31.7333
4.776363280, 56.865, 1005.0, 31.7017
4.819829040, 56.865, 1030.0, 32.0936
4.863294800, 56.865, 996.0, 31.5595
4.906760560, 56.865, 945.0, 30.7409
4.950226320, 56.865, 908.0, 30.1330
4.993692080, 56.865, 922.0, 30.3645
5.037157840, 56.865, 862.0, 29.3598
5.080623600, 56.865, 908.0, 30.1330
5.124089360, 56.865, 846.0, 29.0861
5.167555120, 56.865, 799.0, 28.2666
5.211020880, 56.865, 844.0, 29.0517
5.254486640, 56.865, 800.0, 28.2843
5.297952400, 56.865, 809.0, 28.4429
5.341418160, 56.865, 769.0, 27.7308
5.384883920, 56.865, 787.0, 28.0535
5.428349680, 56.865, 724.0, 26.9072
5.471815440, 56.865, 761.0, 27.5862
5.515281200, 56.865, 709.0, 26.6271
5.558746960, 56.865, 770.0, 27.7489
5.602212720, 56.865, 714.0, 26.7208
5.645678480, 56.865, 727.0, 26.9629
5.689144240, 56.865, 706.0, 26.5707
5.732610000, 56.865, 662.0, 25.7294
5.776075760, 56.865, 580.0, 24.0832
5.819541520, 56.865, 576.0, 24.0000
5.863007280, 56.865, 489.0, 22.1133
5.906473040, 56.865, 539.0, 23.2164
5.949938800, 56.865, 478.0, 21.8632
5.993404560, 56.865, 423.0, 20.5670
6.036870320, 56.865, 430.0, 20.7364
6.080336080, 56.865, 460.0, 21.4476
6.123801840, 56.865, 431.0, 20.7605
6.167267600, 56.865, 439.0, 20.9523
6.210733360, 56.865, 417.0, 20.4206
6.254199120, 56.865, 405.0, 20.1246
6.297664880, 56.865, 396.0, 19.8997
6.341130640, 56.865, 433.0, 20.8087
6.384596400, 56.865, 416.0, 20.3961
6.428062160, 56.865, 389.0, 19.7231
6.471527920, 56.865, 352.0, 18.7617
6.514993680, 56.865, 387.0, 19.6723
6.558459440, 56.865, 349.0, 18.6815
6.601925200, 56.865, 363.0, 19.0526
6.645390960, 56.865, 370.0, 19.2354
6.688856720, 56.865, 371.0, 19.2614
6.732322480, 56.865, 376.0, 19.3907
