[Measurement conditions],,,
Sample identification,20231019-pin-0.05%p,,
Comment,,,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.10mm,
Monochromator used,NO,,
Generator voltage,40,,
Tube current,15,,
File date and time,19/10ÔÂ/2023 21:44,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,3.016,59.9561456,
Scan step size,0.0434658,,
No. of points,1310,,
Scan type,CONTINUOUS,,
Time per step,56.865,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
3.03773288,56.865,2653,51.5073
3.08119864,56.865,2612,51.1077
3.1246644,56.865,2556,50.5569
3.16813016,56.865,2480,49.7996
3.21159592,56.865,2502,50.02
3.25506168,56.865,2429,49.2849
3.29852744,56.865,2354,48.518
3.3419932,56.865,2193,46.8295
3.38545896,56.865,2175,46.6369
3.42892472,56.865,2043,45.1996
3.47239048,56.865,2043,45.1996
3.51585624,56.865,2025,45
3.559322,56.865,1926,43.8862
3.60278776,56.865,1846,42.9651
3.64625352,56.865,1935,43.9886
3.68971928,56.865,1803,42.4617
3.73318504,56.865,1819,42.6497
3.7766508,56.865,1749,41.821
3.82011656,56.865,1675,40.9268
3.86358232,56.865,1654,40.6694
3.90704808,56.865,1551,39.3827
3.95051384,56.865,1558,39.4715
3.9939796,56.865,1534,39.1663
4.03744536,56.865,1418,37.6563
4.08091112,56.865,1336,36.5513
4.12437688,56.865,1359,36.8646
4.16784264,56.865,1305,36.1248
4.2113084,56.865,1306,36.1386
4.25477416,56.865,1285,35.8469
4.29823992,56.865,1190,34.4964
4.34170568,56.865,1197,34.5977
4.38517144,56.865,1122,33.4963
4.4286372,56.865,1194,34.5543
4.47210296,56.865,1126,33.5559
4.51556872,56.865,1040,32.249
4.55903448,56.865,1085,32.9393
4.60250024,56.865,967,31.0966
4.645966,56.865,1051,32.4191
4.68943176,56.865,1008,31.749
4.73289752,56.865,972,31.1769
4.77636328,56.865,920,30.3315
4.81982904,56.865,926,30.4302
4.8632948,56.865,920,30.3315
4.90676056,56.865,905,30.0832
4.95022632,56.865,843,29.0345
4.99369208,56.865,825,28.7228
5.03715784,56.865,835,28.8964
5.0806236,56.865,799,28.2666
5.12408936,56.865,770,27.7489
5.16755512,56.865,747,27.3313
5.21102088,56.865,726,26.9444
5.25448664,56.865,732,27.0555
5.2979524,56.865,744,27.2764
5.34141816,56.865,725,26.9258
5.38488392,56.865,660,25.6905
5.42834968,56.865,708,26.6083
5.47181544,56.865,662,25.7294
5.5152812,56.865,685,26.1725
5.55874696,56.865,680,26.0768
5.60221272,56.865,676,26
5.64567848,56.865,662,25.7294
5.68914424,56.865,673,25.9422
5.73261,56.865,609,24.6779
5.77607576,56.865,522,22.8473
5.81954152,56.865,466,21.587
5.86300728,56.865,406,20.1494
5.90647304,56.865,469,21.6564
5.9499388,56.865,429,20.7123
5.99340456,56.865,455,21.3307
6.03687032,56.865,380,19.4936
6.08033608,56.865,419,20.4695
6.12380184,56.865,377,19.4165
6.1672676,56.865,405,20.1246
6.21073336,56.865,403,20.0749
6.25419912,56.865,400,20
6.29766488,56.865,367,19.1572
6.34113064,56.865,391,19.7737
6.3845964,56.865,354,18.8149
6.42806216,56.865,351,18.735
6.47152792,56.865,361,19
6.51499368,56.865,327,18.0831
6.55845944,56.865,305,17.4642
6.6019252,56.865,346,18.6011
6.64539096,56.865,355,18.8414
6.68885672,56.865,323,17.9722
6.73232248,56.865,388,19.6977
6.77578824,56.865,336,18.3303
6.819254,56.865,332,18.2209
6.86271976,56.865,309,17.5784
6.90618552,56.865,311,17.6352
6.94965128,56.865,325,18.0278
6.99311704,56.865,289,17
7.0365828,56.865,326,18.0555
7.08004856,56.865,343,18.5203
7.12351432,56.865,344,18.5472
7.16698008,56.865,310,17.6068
7.21044584,56.865,294,17.1464
7.2539116,56.865,286,16.9115
7.29737736,56.865,289,17
7.34084312,56.865,311,17.6352
7.38430888,56.865,344,18.5472
7.42777464,56.865,339,18.412
7.4712404,56.865,300,17.3205
7.51470616,56.865,299,17.2916
7.55817192,56.865,298,17.2627
7.60163768,56.865,350,18.7083
7.64510344,56.865,335,18.303
7.6885692,56.865,333,18.2483
7.73203496,56.865,291,17.0587
7.77550072,56.865,288,16.9706
7.81896648,56.865,318,17.8326
7.86243224,56.865,319,17.8606
7.905898,56.865,327,18.0831
7.94936376,56.865,313,17.6918
7.99282952,56.865,333,18.2483
8.03629528,56.865,335,18.303
8.07976104,56.865,341,18.4662
8.1232268,56.865,299,17.2916
8.16669256,56.865,322,17.9444
8.21015832,56.865,321,17.9165
8.25362408,56.865,323,17.9722
8.29708984,56.865,342,18.4932
8.3405556,56.865,326,18.0555
8.38402136,56.865,367,19.1572
8.42748712,56.865,323,17.9722
8.47095288,56.865,344,18.5472
8.51441864,56.865,317,17.8045
8.5578844,56.865,326,18.0555
8.60135016,56.865,313,17.6918
8.64481592,56.865,319,17.8606
8.68828168,56.865,329,18.1384
8.73174744,56.865,311,17.6352
8.7752132,56.865,313,17.6918
8.81867896,56.865,355,18.8414
8.86214472,56.865,337,18.3576
8.90561048,56.865,324,18
8.94907624,56.865,320,17.8885
8.992542,56.865,319,17.8606
9.03600776,56.865,294,17.1464
9.07947352,56.865,358,18.9209
9.12293928,56.865,364,19.0788
9.16640504,56.865,378,19.4422
9.2098708,56.865,313,17.6918
9.25333656,56.865,323,17.9722
9.29680232,56.865,327,18.0831
9.34026808,56.865,336,18.3303
9.38373384,56.865,319,17.8606
9.4271996,56.865,326,18.0555
9.47066536,56.865,308,17.5499
9.51413112,56.865,313,17.6918
9.55759688,56.865,302,17.3781
9.60106264,56.865,285,16.8819
9.6445284,56.865,311,17.6352
9.68799416,56.865,305,17.4642
9.73145992,56.865,315,17.7482
9.77492568,56.865,340,18.4391
9.81839144,56.865,343,18.5203
9.8618572,56.865,322,17.9444
9.90532296,56.865,340,18.4391
9.94878872,56.865,310,17.6068
9.99225448,56.865,333,18.2483
10.03572024,56.865,331,18.1934
10.079186,56.865,339,18.412
10.12265176,56.865,318,17.8326
10.16611752,56.865,451,21.2368
10.20958328,56.865,417,20.4206
10.25304904,56.865,432,20.7846
10.2965148,56.865,396,19.8997
10.33998056,56.865,420,20.4939
10.38344632,56.865,408,20.199
10.42691208,56.865,417,20.4206
10.47037784,56.865,305,17.4642
10.5138436,56.865,328,18.1108
10.55730936,56.865,340,18.4391
10.60077512,56.865,305,17.4642
10.64424088,56.865,349,18.6815
10.68770664,56.865,320,17.8885
10.7311724,56.865,356,18.868
10.77463816,56.865,286,16.9115
10.81810392,56.865,284,16.8523
10.86156968,56.865,327,18.0831
10.90503544,56.865,300,17.3205
10.9485012,56.865,323,17.9722
10.99196696,56.865,317,17.8045
11.03543272,56.865,317,17.8045
11.07889848,56.865,283,16.8226
11.12236424,56.865,302,17.3781
11.16583,56.865,296,17.2047
11.20929576,56.865,283,16.8226
11.25276152,56.865,322,17.9444
11.29622728,56.865,275,16.5831
11.33969304,56.865,301,17.3494
11.3831588,56.865,275,16.5831
11.42662456,56.865,290,17.0294
11.47009032,56.865,302,17.3781
11.51355608,56.865,286,16.9115
11.55702184,56.865,298,17.2627
11.6004876,56.865,323,17.9722
11.64395336,56.865,278,16.6733
11.68741912,56.865,335,18.303
11.73088488,56.865,301,17.3494
11.77435064,56.865,307,17.5214
11.8178164,56.865,327,18.0831
11.86128216,56.865,333,18.2483
11.90474792,56.865,336,18.3303
11.94821368,56.865,297,17.2337
