[Measurement conditions]
Sample identification,20231019-pin-c
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,19/10ÔÂ/2023 21:21
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,3.016000000,59.956145600
Scan step size,0.0434658
No. of points, 1310
Scan type,CONTINUOUS
Time per step,56.865
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.037732880, 56.865, 4489.0, 67.0000
3.081198640, 56.865, 4093.0, 63.9766
3.124664400, 56.865, 3792.0, 61.5792
3.168130160, 56.865, 3592.0, 59.9333
3.211595920, 56.865, 3469.0, 58.8982
3.255061680, 56.865, 3195.0, 56.5243
3.298527440, 56.865, 2875.0, 53.6190
3.341993200, 56.865, 2867.0, 53.5444
3.385458960, 56.865, 2806.0, 52.9717
3.428924720, 56.865, 2782.0, 52.7447
3.472390480, 56.865, 2531.0, 50.3090
3.515856240, 56.865, 2429.0, 49.2849
3.559322000, 56.865, 2432.0, 49.3153
3.602787760, 56.865, 2350.0, 48.4768
3.646253520, 56.865, 2286.0, 47.8121
3.689719280, 56.865, 2160.0, 46.4758
3.733185040, 56.865, 2153.0, 46.4004
3.776650800, 56.865, 2120.0, 46.0435
3.820116560, 56.865, 2061.0, 45.3982
3.863582320, 56.865, 1918.0, 43.7950
3.907048080, 56.865, 1921.0, 43.8292
3.950513840, 56.865, 1819.0, 42.6497
3.993979600, 56.865, 1800.0, 42.4264
4.037445360, 56.865, 1767.0, 42.0357
4.080911120, 56.865, 1623.0, 40.2865
4.124376880, 56.865, 1591.0, 39.8873
4.167842640, 56.865, 1594.0, 39.9249
4.211308400, 56.865, 1567.0, 39.5854
4.254774160, 56.865, 1574.0, 39.6737
4.298239920, 56.865, 1510.0, 38.8587
4.341705680, 56.865, 1326.0, 36.4143
4.385171440, 56.865, 1329.0, 36.4555
4.428637200, 56.865, 1338.0, 36.5787
4.472102960, 56.865, 1263.0, 35.5387
4.515568720, 56.865, 1272.0, 35.6651
4.559034480, 56.865, 1185.0, 34.4238
4.602500240, 56.865, 1226.0, 35.0143
4.645966000, 56.865, 1201.0, 34.6554
4.689431760, 56.865, 1084.0, 32.9242
4.732897520, 56.865, 1083.0, 32.9090
4.776363280, 56.865, 1053.0, 32.4500
4.819829040, 56.865, 997.0, 31.5753
4.863294800, 56.865, 1006.0, 31.7175
4.906760560, 56.865, 950.0, 30.8221
4.950226320, 56.865, 943.0, 30.7083
4.993692080, 56.865, 959.0, 30.9677
5.037157840, 56.865, 825.0, 28.7228
5.080623600, 56.865, 912.0, 30.1993
5.124089360, 56.865, 832.0, 28.8444
5.167555120, 56.865, 913.0, 30.2159
5.211020880, 56.865, 791.0, 28.1247
5.254486640, 56.865, 867.0, 29.4449
5.297952400, 56.865, 802.0, 28.3196
5.341418160, 56.865, 806.0, 28.3901
5.384883920, 56.865, 767.0, 27.6948
